City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,petropavlovsk-kamchatskiy,53.0452,158.6483,-17.67,46,0,4.0,RU,1673916536
158,sola,-13.8833,167.55,27.72,74,89,5.77,VU,1673916395
159,nouadhibou,20.931,-17.0347,20.99,46,100,5.66,MR,1673916536
160,korla,41.7597,86.1469,-16.0,94,76,0.73,CN,1673916537
161,marevo,57.3146,32.0804,-1.75,92,100,3.73,RU,1673916537
162,hamilton,39.1834,-84.5333,6.36,91,100,6.69,US,1673916398
163,marly,50.3456,3.5496,-1.19,95,7,3.09,FR,1673916538
164,havre-saint-pierre,50.2334,-63.5986,0.2,86,100,11.32,CA,1673916289
165,nadvoitsy,63.8667,34.3167,0.56,97,100,7.4,RU,1673916539
166,normandin,48.8333,-72.5321,-11.93,72,93,3.6,CA,1673916539
167,ganzhou,28.8184,115.4327,3.24,61,38,1.03,CN,1673916539
168,vao,-22.6667,167.4833,24.31,70,100,7.53,NC,1673916393
169,duliagaon,27.3667,95.3167,12.93,81,87,0.37,IN,1673916540
170,fort nelson,58.8053,-122.7002,-12.81,91,75,1.03,CA,1673916541
